date,home_team,away_team,home_score,away_score
2020-12-22,Knicks,Trail Blazers,111,133
2020-12-23,Heat,Jazz,106,117
2020-12-24,Raptors,Pelicans,101,121
2020-12-25,Raptors,Pacers,118,105
2020-12-26,Hawks,Nets,117,115
2020-12-27,Thunder,Grizzlies,113,107
2020-12-28,Pelicans,Celtics,83,102
2020-12-29,Knicks,Rockets,109,117
2020-12-30,Knicks,Bucks,80,99
2020-12-31,Nets,Grizzlies,105,140
2021-01-01,Spurs,Bucks,97,82
2021-01-02,Knicks,Bulls,108,100
2021-01-03,Bucks,Trail Blazers,103,119
2021-01-04,Hawks,Wizards,112,107
2021-01-05,Jazz,Bulls,85,106
2021-01-06,Heat,Hawks,102,100
2021-01-07,Hawks,Nuggets,119,107
2021-01-08,Thunder,Jazz,101,150
2021-01-09,Trail Blazers,Pacers,117,102
2021-01-10,Hornets,Thunder,116,104
2021-01-11,Spurs,Cavaliers,120,97
2021-01-12,Bucks,Wizards,116,138
2021-01-13,Rockets,Thunder,103,108
2021-01-14,Hornets,Bulls,134,136
2021-01-15,Mavericks,Jazz,94,138
2021-01-16,Thunder,Trail Blazers,89,117
2021-01-17,76ers,Trail Blazers,99,108
2021-01-18,76ers,Nets,110,104
2021-01-19,Cavaliers,Hawks,109,96
2021-01-20,Bucks,Suns,124,114
2021-01-21,Pelicans,Thunder,96,100
2021-01-22,Nets,Knicks,97,114
2021-01-23,Knicks,76ers,114,103
2021-01-24,Timberwolves,Hornets,117,109
2021-01-25,Celtics,Jazz,102,137
2021-01-26,Grizzlies,Warriors,98,99
2021-01-27,Pacers,Heat,107,113
2021-01-28,Pelicans,Bucks,125,121
2021-01-29,Grizzlies,Warriors,120,111
2021-01-30,Rockets,Celtics,124,109
2021-01-31,Pistons,Thunder,115,121
2021-02-01,Heat,Clippers,90,113
2021-02-02,76ers,Kings,142,99
2021-02-03,Nuggets,Clippers,98,122
2021-02-04,Lakers,Celtics,126,99
2021-02-05,Kings,Heat,124,105
2021-02-06,Kings,Bucks,102,115
2021-02-07,Mavericks,Knicks,104,88
2021-02-08,Heat,Spurs,109,105
2021-02-09,Warriors,Bucks,89,118
2021-02-10,Knicks,Jazz,93,114
2021-02-11,Bulls,Pacers,96,107
2021-02-12,Suns,Clippers,100,111
2021-02-13,Timberwolves,Lakers,127,97
2021-02-14,Clippers,Jazz,94,114
2021-02-15,Rockets,Cavaliers,118,86
2021-02-16,Spurs,Magic,107,119
2021-02-17,Clippers,Pelicans,100,91
2021-02-18,Thunder,Suns,110,114
2021-02-19,Magic,Heat,125,108
2021-02-20,Hornets,Spurs,106,98
2021-02-21,Wizards,Bucks,118,80
2021-02-22,Clippers,Nuggets,97,99
2021-02-23,Magic,Pelicans,121,107
2021-02-24,Grizzlies,Pacers,116,113
2021-02-25,Pistons,Bucks,102,129
2021-02-26,Grizzlies,Bucks,101,123
2021-02-27,Suns,Grizzlies,125,119
2021-02-28,Clippers,Heat,96,96
2021-03-01,Lakers,Knicks,120,113
2021-03-02,Grizzlies,Cavaliers,90,81
2021-03-03,Clippers,Timberwolves,113,112
2021-03-04,Heat,Grizzlies,130,115
2021-03-05,Cavaliers,Wizards,106,84
2021-03-06,Bulls,Clippers,107,103
2021-03-07,Jazz,Lakers,107,117
2021-03-08,Heat,Bucks,104,117
2021-03-09,Clippers,Hornets,117,117
2021-03-10,Heat,Thunder,85,94
2021-03-11,Bucks,Cavaliers,99,113
2021-03-12,Hornets,Pistons,121,108
2021-03-13,Grizzlies,Nuggets,93,109
2021-03-14,Raptors,Spurs,146,98
2021-03-15,Bucks,Warriors,109,102
2021-03-16,Heat,Knicks,109,116
2021-03-17,Knicks,Cavaliers,111,94
2021-03-18,Thunder,76ers,110,123
2021-03-19,Nets,Bulls,127,113
2021-03-20,Mavericks,Hawks,110,116
2021-03-21,Magic,Knicks,116,106
2021-03-22,Pacers,Cavaliers,103,82
2021-03-23,Bulls,Heat,116,108
2021-03-24,Rockets,Magic,92,99
2021-03-25,Raptors,Clippers,111,118
2021-03-26,Cavaliers,Wizards,102,110
2021-03-27,76ers,Pistons,105,108
2021-03-28,Hornets,Timberwolves,101,133
2021-03-29,Bulls,Lakers,111,140
2021-03-30,Raptors,Rockets,80,115
2021-03-31,Heat,Hornets,123,96
2021-04-01,Celtics,Bucks,122,107
2021-04-02,Kings,Bucks,114,128
2021-04-03,Magic,Wizards,112,123
2021-04-04,Bucks,Pelicans,116,114
2021-04-05,Warriors,Pacers,98,111
2021-04-06,Knicks,Raptors,124,114
2021-04-07,76ers,Hawks,93,117
2021-04-08,Hawks,Grizzlies,105,106
2021-04-09,Rockets,Kings,122,114
2021-04-10,Mavericks,Jazz,118,106
2021-04-11,Magic,Nets,91,104
2021-04-12,Thunder,Heat,82,113
2021-04-13,Nuggets,Bulls,112,89
2021-04-14,Nets,Grizzlies,113,98
2021-04-15,Bucks,Pelicans,102,91
2021-04-16,Spurs,Magic,101,105
2021-04-17,Warriors,Knicks,120,119
2021-04-18,Kings,Jazz,110,115
2021-04-19,Grizzlies,Raptors,111,125
2021-04-20,Clippers,Raptors,111,123
2021-04-21,Hornets,Celtics,122,111
2021-04-22,Magic,Timberwolves,81,116
2021-04-23,Thunder,Bucks,109,118
2021-04-24,Knicks,Spurs,102,136
2021-04-25,Jazz,Celtics,101,117
2021-04-26,Heat,Spurs,120,101
2021-04-27,Pistons,76ers,134,107
2021-04-28,Jazz,Wizards,114,105
2021-04-29,Warriors,Wizards,108,94
2021-04-30,Celtics,Kings,101,97
2021-05-01,Rockets,Clippers,124,83
2021-05-02,Wizards,Grizzlies,98,122
2021-05-03,Rockets,Trail Blazers,120,109
2021-05-04,Lakers,Hornets,116,109
2021-05-05,Magic,Hornets,105,123
2021-05-06,Raptors,Hornets,90,114
2021-05-07,Hornets,76ers,94,119
2021-05-08,Jazz,Kings,101,94
2021-05-09,Suns,Knicks,124,108
2021-05-10,Knicks,Timberwolves,104,117
2021-05-11,Raptors,Pacers,97,107
2021-05-12,Cavaliers,Mavericks,113,123
2021-05-13,Bulls,Pacers,104,107
2021-05-14,Mavericks,Bucks,93,130
2021-05-15,Warriors,Clippers,120,128
2021-05-16,Celtics,Pacers,104,121
2021-05-17,Celtics,Suns,109,118
2021-05-18,Trail Blazers,Nets,112,104
2021-05-19,Warriors,Hornets,96,111
2021-05-20,Spurs,Rockets,116,102
2021-05-21,Lakers,Heat,100,108
2021-05-22,Bucks,Jazz,129,111
2021-05-23,76ers,Raptors,102,94
2021-05-24,76ers,Hornets,88,113
2021-05-25,Spurs,Warriors,107,105
2021-05-26,Jazz,Cavaliers,122,102
2021-05-27,Suns,Hawks,127,110
2021-05-28,Mavericks,Spurs,109,104
2021-05-29,Grizzlies,Pelicans,112,111
2021-05-30,Hawks,Celtics,106,100
2021-05-31,Hornets,76ers,103,122
2021-06-01,Heat,Cavaliers,123,93
2021-06-02,Clippers,Warriors,105,108
2021-06-03,Knicks,Rockets,94,117
2021-06-04,76ers,Raptors,106,101
2021-06-05,Thunder,Heat,112,119
2021-06-06,Pistons,Spurs,101,113
2021-06-07,Suns,Kings,102,136
2021-06-08,Kings,Cavaliers,107,106
2021-06-09,Timberwolves,Bucks,129,121
2021-06-10,Warriors,Pistons,103,126
2021-06-11,Pacers,Knicks,80,134
2021-06-12,Timberwolves,Bucks,120,91
2021-06-13,76ers,Spurs,117,109
2021-06-14,Warriors,76ers,117,87
2021-06-15,Kings,Pelicans,114,123
2021-06-16,Grizzlies,Mavericks,103,107
2021-06-17,Magic,Heat,116,147
2021-06-18,Kings,Bucks,122,100
2021-06-19,Wizards,Bucks,95,95
2021-06-20,Hornets,Raptors,103,104
2021-06-21,Lakers,Suns,106,98
2021-06-22,Rockets,Suns,95,117
2021-06-23,Jazz,Nuggets,111,82
2021-06-24,Hornets,Trail Blazers,110,105
2021-06-25,Bucks,Wizards,122,132
2021-06-26,Nets,Raptors,118,100
2021-06-27,Jazz,Hawks,115,94
2021-06-28,76ers,Spurs,114,108
2021-06-29,Nets,Grizzlies,113,106
2021-06-30,Magic,Warriors,134,97
2021-07-01,Warriors,Magic,114,101
2021-07-02,Celtics,Cavaliers,110,110
2021-07-03,Bucks,Jazz,114,106
2021-07-04,Warriors,Pistons,112,118
2021-07-05,Bucks,Lakers,114,104
2021-07-06,Wizards,Knicks,106,99
2021-07-07,Trail Blazers,Lakers,116,114
2021-07-08,Warriors,Pacers,104,112
2021-07-09,Mavericks,Spurs,107,126
2021-07-10,Suns,Mavericks,89,107
2021-07-11,Kings,Mavericks,102,100
2021-07-12,Trail Blazers,Grizzlies,147,87
2021-07-13,Warriors,Jazz,94,112
2021-07-14,Clippers,Pistons,104,99
2021-07-15,Nets,Knicks,96,99
2021-07-16,Suns,Thunder,114,95
